# category|youtube_id|title|duration_seconds|description
Gaming|9g8T8MsFIp0|TEDxTokyo - Garr Reynolds - Lessons from the Bamboo - [English]|240|Verified embeddable YouTube video for MINITUBE.
Gaming|NADVKnb09rI|Changing Egypt -- truly, madly, deeply! /  Khaled Abol Naga / TEDxCairo|240|Verified embeddable YouTube video for MINITUBE.
Gaming|K5JOzIlGv08|TEDxIB@York - Amal Ahmed Albaz - 5 before 5|240|Verified embeddable YouTube video for MINITUBE.
Gaming|RmhuWNO_VZU|TEDxUCLA - Andrew Byrom - If h is a chair|240|Verified embeddable YouTube video for MINITUBE.
Gaming|zf2F0c9R4Mc|TEDx / In 7 Months...|240|Verified embeddable YouTube video for MINITUBE.
Gaming|FeZL7DJLSQs|TEDxBerlin 15/11/10 - Maha Alusi - Moments of Happiness|240|Verified embeddable YouTube video for MINITUBE.
Gaming|kGBQApX1c_c|TEDxAmsterdamWomen 2011 - Andy Torres -  The Key to Successful Blogging|240|Verified embeddable YouTube video for MINITUBE.
Gaming|D2IQkKE7h9I|The world's smallest 3D printer: Klaus Stadlmann at TEDxVienna|240|Verified embeddable YouTube video for MINITUBE.
Gaming|yvhCLXEeSDQ|TEDxConejo - Mark Robert Waldman - 03/27/10|240|Verified embeddable YouTube video for MINITUBE.
Cooking|aFsgpzxuEU4|Mon père, ce faussaire: Sarah Kaminsky at TEDxParis|240|Verified embeddable YouTube video for MINITUBE.
Cooking|K2Rvh8VG3o8|TEDxVienna-Johannes Grenzfurthner-On how to subvert subversion|240|Verified embeddable YouTube video for MINITUBE.
Cooking|UZnI_A6GSYE|TEDxSSN - Krish Ashok - Disregard Work, Acquire Hobbies|240|Verified embeddable YouTube video for MINITUBE.
Cooking|0_f_3FiiTYk|TEDxKL - Yasmin Ahmad - 6/3/09|240|Verified embeddable YouTube video for MINITUBE.
Cooking|0hcaL4EF1Xs|TEDxPalmaCeia - Mark Katz - Commissions|240|Verified embeddable YouTube video for MINITUBE.
Cooking|x8UoV0xBsVI|TEDxCaltech - Lyle Mays and Friends|240|Verified embeddable YouTube video for MINITUBE.
Cooking|lkbWIfP3mLw|The big secret nobody wants to tell / Bruce Muzik / TEDxSinCity|240|Verified embeddable YouTube video for MINITUBE.
Cooking|Iu81NDXNaNM|TEDxDoha - Ahmed Ahmed - When it Comes to Laughter,  We Are All Alike|240|Verified embeddable YouTube video for MINITUBE.
Cooking|SczraSQE3MY|TEDxCaltech - Scott Aaronson - Physics in the 21st Century: Toiling in Feynman's Shadow|240|Verified embeddable YouTube video for MINITUBE.
Cooking|UQBp6z4j704|Gunter Pauli at TEDxTokyo 2009|240|Verified embeddable YouTube video for MINITUBE.
Cooking|RvFBBc7iRWg|TEDxCairo - Shereef Abd El Azeem - Volunteerism|240|Verified embeddable YouTube video for MINITUBE.
Cooking|pkFRwhJEOos|Turning Fear Into Fuel: Jonathan Fields at TEDxCMU 2010|240|Verified embeddable YouTube video for MINITUBE.
Cooking|-T9UaP1AsMI|TEDxMidAtlantic - Joel Salatin - 11/5/09|240|Verified embeddable YouTube video for MINITUBE.
Cooking|mS0SDmud32w|Espri Yolu: Erdil Yaşaroğlu at TEDxReset 2011|240|Verified embeddable YouTube video for MINITUBE.
Travel|qaeFnxSfSC4|TEDxBlue - Angela Lee Duckworth, Ph.D - 10/18/09|240|Verified embeddable YouTube video for MINITUBE.
Travel|HGiHU-agsGY|Learning from failure / David Damberger / TEDxYYC|240|Verified embeddable YouTube video for MINITUBE.
Travel|vKioOmhIfGU|Alimentacion Infantil Libre de Papillas: Carlos Gonzalez at TEDxValencia|240|Verified embeddable YouTube video for MINITUBE.
Travel|W-tc1vyoeBc|TEDxSydney - Daniel Johns & Josh Wakely - My Mind's Own Melody|240|Verified embeddable YouTube video for MINITUBE.
Travel|jMp0GqeD5e0|Engineer and inventor / Israel Belema / TEDxAddis|240|Verified embeddable YouTube video for MINITUBE.
Travel|hVCBrkrFrBE|TEDxToronto -  Drew Dudley "Leading with Lollipops"|240|Verified embeddable YouTube video for MINITUBE.
Travel|xdROsuWCz7w|Le Vinvin show de clôture! Vinvin at TEDxParis 2010|240|Verified embeddable YouTube video for MINITUBE.
Travel|rTOLkm5hNNU|TEDxNYED - Jeff Jarvis - 03/06/10|240|Verified embeddable YouTube video for MINITUBE.
Travel|Y9oVNP9zeEM|Improving lives with emotionally intelligent technology / Rana El Kaliouby / TEDxCairo|240|Verified embeddable YouTube video for MINITUBE.
Travel|5CcA-ucHKQg|TEDxTokyo - 茂木健一郎 - 05/15/10 - (日本語)|240|Verified embeddable YouTube video for MINITUBE.
Travel|kjYX4iKgT7E|TEDxSF - Nate Quarry - 4/27/10 - Fighting Back|240|Verified embeddable YouTube video for MINITUBE.
Travel|CGd_M_CpeDI|TEDxPSU - Bruce Schneier - Reconceptualizing Security|240|Verified embeddable YouTube video for MINITUBE.
Travel|WMaTyg8wR4Y|Cosmology and the arrow of time: Sean Carroll at TEDxCaltech|240|Verified embeddable YouTube video for MINITUBE.
Sports|6yOlfdXnovg|TEDxBuenosAires - Inés Sanguinetti  - 04/08/10|240|Verified embeddable YouTube video for MINITUBE.
Sports|lBS4T3NfZbM|TEDxBuenosAires - Bea Pellizzari - 04/08/10 (Spanish)|240|Verified embeddable YouTube video for MINITUBE.
Sports|f_wlEtlsuxg|TEDxTokyo -ジェイク・シマブクロ - 05/15/10 - (日本語)|240|Verified embeddable YouTube video for MINITUBE.
Sports|un4qbATrmx8|More humane medical experience: General Doctors at TEDxSeoul|240|Verified embeddable YouTube video for MINITUBE.
Sports|unxL5RRhNb0|Fear and Permission: Chris Guillebeau at TEDxCMU 2010|240|Verified embeddable YouTube video for MINITUBE.
Sports|9Il_D3Xt9W0|Seeing the world as it isn't  / Daniel Simons / TEDxUIUC|240|Verified embeddable YouTube video for MINITUBE.
Sports|Z3CDOS4GNdQ|Renée Byer at TEDxTokyo 2009|240|Verified embeddable YouTube video for MINITUBE.
Sports|5298KZuW_JE|TEDxBrooklyn- Callie Curry aka Swoon|240|Verified embeddable YouTube video for MINITUBE.
Sports|soqtTCeczbM|TEDxVancouver - Nazanin Afshin-Jam - Voice for the Voiceless|240|Verified embeddable YouTube video for MINITUBE.
Comedy|OZdFErDoU3U|TEDxBucharest - Oana Pellea|240|Verified embeddable YouTube video for MINITUBE.
Comedy|Q8tDpQp6m0A|Transformational festivals: Jeet Kei Leung at TEDxVancouver|240|Verified embeddable YouTube video for MINITUBE.
Comedy|1GFst2IQBEM|TEDxHouston 2011 - Wade Adams - Nanotechnology and Energy|240|Verified embeddable YouTube video for MINITUBE.
News|T-ldzLSFxds|TEDxSF - Grow a New Eye|240|Verified embeddable YouTube video for MINITUBE.
News|ElI-XVGHCHs|TEDxPSU - Michael Mann - A Look Into Our Climate: Past To Present To Future|240|Verified embeddable YouTube video for MINITUBE.
News|1KkWF5E0Wlg|TEDxObserver - René Redzepi|240|Verified embeddable YouTube video for MINITUBE.
News|MtLVCpZIiNs|TEDxUIUC - Sherry Turkle - Alone Together|240|Verified embeddable YouTube video for MINITUBE.
News|ua9oGxNNGd0|TEDxCopenhagen - Kristian von Bengtson - Danes in space|240|Verified embeddable YouTube video for MINITUBE.
News|ODnt89o7hwU|TEDxParis 2010 - Guy-Philippe Goldstein - Faut-il craindre une cyber-guerre?|240|Verified embeddable YouTube video for MINITUBE.
News|nG0WiP5ux1Q|TEDxAtlanta - Sally Hogshead - How to Fascinate|240|Verified embeddable YouTube video for MINITUBE.
News|Optk-gYgFo8|TEDxRheinNeckar - Gunter Dueck - Bildung und Mensch im digitalen Zeitalter|240|Verified embeddable YouTube video for MINITUBE.
News|-H8iLYdn21Y|TEDxBuenosAires - Luis Moreno Ocampo - 04/08/10|240|Verified embeddable YouTube video for MINITUBE.
Art|fnG4I3hBJKY|Los genes, la evolución y nosotros: Alberto Kornblihtt at TEDxBuenosAires|240|Verified embeddable YouTube video for MINITUBE.
Art|GXEbqKaFf6A|Highlights from TEDx 2009 Events|240|Verified embeddable YouTube video for MINITUBE.
Art|ocbyS9-3jjM|TEDxIslay - Wayne Betts Jr - Deaf Lens|240|Verified embeddable YouTube video for MINITUBE.
Art|AHSm8sIopKw|TEDxLahore - Mudassir Zia - Vision to do, dare and dream|240|Verified embeddable YouTube video for MINITUBE.
Art|YuYyq_7KhjA|Researching or reporting -- revelations from the field: Leslie Dodson at TEDxBOULDER|240|Verified embeddable YouTube video for MINITUBE.
Art|6ogzQeg5uRk|TEDxManhattanBeach - Haley Rushing - Purpose Driven Revitalization|240|Verified embeddable YouTube video for MINITUBE.
Art|LeaAHv4UTI8|TEDxKC - Michael Wesch - From Knowledgeable to Knowledge-Able|240|Verified embeddable YouTube video for MINITUBE.
Art|Z3Cd-oEvEog|TEDxKrakow - Srdja Popovic - How to topple a dictator|240|Verified embeddable YouTube video for MINITUBE.
Science|B5NWJsst_2o|Dare to be Different. (許芳宜 - 不怕和世界不一樣): Feng-Yi Sheu at TEDxTaipei|240|Verified embeddable YouTube video for MINITUBE.
Science|ek_q0qvfBqE|TEDxEastHampton - Joel Hoffman - Interpreting Language|240|Verified embeddable YouTube video for MINITUBE.
Science|0Ciy8sSn4fo|What is innovation? /  Introduction interviews / TEDxArabia|240|Verified embeddable YouTube video for MINITUBE.
Science|onaapqbCXQ8|TEDxPennQuarter - David Armano - Reinventing Social Media|240|Verified embeddable YouTube video for MINITUBE.
Science|LuHNVYW4tW0|TEDxToronto - Dave Meslin "Redefining Apathy"|240|Verified embeddable YouTube video for MINITUBE.
Science|qSRIX8zLy64|Le bois raméal fragmenté, une alternative aux engrais chimiques? Jacky Dupéty at TEDxParis 2011|240|Verified embeddable YouTube video for MINITUBE.
Science|w3XTHevPXDY|TEDxPennQuarter - Christopher McDougall|240|Verified embeddable YouTube video for MINITUBE.
Science|4dEzNMx94s0|TEDxConcordia - Yan Ohayon - The Impact of Algorithmic Trading|240|Verified embeddable YouTube video for MINITUBE.
Fitness|LRBdMhVG_Co|TEDxTokyo - Rome Kanda - 05/15/10 - (English)|240|Verified embeddable YouTube video for MINITUBE.
Fitness|ebJHzpEy4bE|TEDxNYED - Alan November - 03/05/2011|240|Verified embeddable YouTube video for MINITUBE.
Fitness|I13yL8ygwhk|TEDxBerlin - Raul Krauthausen- Wheelmap.org|240|Verified embeddable YouTube video for MINITUBE.
Fitness|bGgTK8IDVjA|TEDxTokyo - Dr. Yoshiyuki Sankai - 05/10/15 - English|240|Verified embeddable YouTube video for MINITUBE.
Fitness|aWPB0xeM8UA|Sustainable DoReMi: Geon Hyeok Go at TEDxSeoul|240|Verified embeddable YouTube video for MINITUBE.
Fitness|LKm_mnbN9JY|TEDxMidAtlantic - Roland Griffiths - 11/5/09|240|Verified embeddable YouTube video for MINITUBE.
Fitness|L9Cgaa8U4eY|TEDxAmsterdam - Wim Hof - 11/30/10|240|Verified embeddable YouTube video for MINITUBE.
Fitness|wGWzmst0R7E|Unity / Benjamin Zander and the YOA / TEDxBoston|240|Verified embeddable YouTube video for MINITUBE.
Fitness|cUZunf6mV_8|Lucky / George Watsky / TEDxSFED|240|Verified embeddable YouTube video for MINITUBE.
Fitness|ir3m6y7JXF0|TEDxUbud - Tah Riq Amawi - Taking a Leap: From Desktop to Rooftop|240|Verified embeddable YouTube video for MINITUBE.
Fitness|6pIDlY2CkQ8|About the magic that is still out there / Sahar El Mougy / TEDxCairo|240|Verified embeddable YouTube video for MINITUBE.
Fashion|bjoWSx5QeK8|TEDxKarachi - Asad Rezzvi - Motivating People into Action|240|Verified embeddable YouTube video for MINITUBE.
Fashion|TT6qWghHkFI|How to be a miracle worker: Gabrielle Bernstein at TEDxFiDiWomen|240|Verified embeddable YouTube video for MINITUBE.
Fashion|hDw_Tq1anKU|TEDxJakarta - Ridwan Kamil - Creativity and Design for Social Change in Cities|240|Verified embeddable YouTube video for MINITUBE.
Fashion|xX-iXR_0uEU|TEDxWoodsHole - Dan Ariely - Temptations and Self-Control|240|Verified embeddable YouTube video for MINITUBE.
Fashion|Ni75vIE4vdk|TEDxNYED - Will Richardson - 03/05/2011|240|Verified embeddable YouTube video for MINITUBE.
Fashion|XO2pwnrji8I|Killing trees is murder: Zé Cláudio Ribeiro at TEDxAmazonia|240|Verified embeddable YouTube video for MINITUBE.
Fashion|TqzUHcW58Us|TEDxTC - Peter Benson - Sparks: How Youth Thrive.|240|Verified embeddable YouTube video for MINITUBE.
Fashion|ZiB5-JGNArM|TEDxLahore - Zubair Bhatti - The incredible "Jhang model" of governance|240|Verified embeddable YouTube video for MINITUBE.
Fashion|7uPLJIGOXEw|TEDxDubai - Jamil Abu Wardeh - 10/10/09 [بالعربية]|240|Verified embeddable YouTube video for MINITUBE.
Fashion|jSMSjaZy5hY|TEDxTokyo - Hiroshi Ishii - The Last Farewell - [English]|240|Verified embeddable YouTube video for MINITUBE.
Fashion|ZbIP5wflxSo|In odgovoren je... Aleksander Zadel at TEDxLjubljana|240|Verified embeddable YouTube video for MINITUBE.
DIY|8xyyD-b9awE|Segurança pública tem saída: Rodrigo Pimentel at TEDxSudeste|240|Verified embeddable YouTube video for MINITUBE.
DIY|Z6T37m4r3yo|Turning the Farm Bill into the Food Bill: Ken Cook at TEDxManhattan|240|Verified embeddable YouTube video for MINITUBE.
DIY|FhTUzNKpfio|TEDxNYED - Lawrence Lessig - 03/06/10|240|Verified embeddable YouTube video for MINITUBE.
DIY|xjzVM7e5bYc|TEDxLisboa - Natalia Juskiewicz - Um Violino no Fado|240|Verified embeddable YouTube video for MINITUBE.
DIY|fBYQeOlv0Dc|TEDxAustin - Ruby Jane Smith - 02/20/10|240|Verified embeddable YouTube video for MINITUBE.
DIY|62PgFb2cXSg|TEDxMaastricht - Tim Hurson - "The shock of the possible"|240|Verified embeddable YouTube video for MINITUBE.
Pets|LkojZhupzWA|TEDxTaipei 2011 - Ming-cheng Huang (黃明正)|240|Verified embeddable YouTube video for MINITUBE.
Pets|ZT3NBbD_ml8|TEDxAthens - Kostas Grammatis - A Human Right|240|Verified embeddable YouTube video for MINITUBE.
Pets|mYE3XZUjxnw|Zero cost diagnostics / George Whitesides / TEDxBoston|240|Verified embeddable YouTube video for MINITUBE.
Pets|XguYjD0jfMw|TEDxDubai - Khulood Al Atiyat - 10/10/09 [بالعربية]|240|Verified embeddable YouTube video for MINITUBE.
Pets|PuZgkL5BEBk|TEDxParis 2011 - Jean-François Noubel - Après l'argent|240|Verified embeddable YouTube video for MINITUBE.
Pets|U3kKjGKp9rA|TEDxObserver - Cédric Villani|240|Verified embeddable YouTube video for MINITUBE.
Pets|ZLyPhexkO3w|TEDxDanubia 2011 - Herman Gábor - GMT+2|240|Verified embeddable YouTube video for MINITUBE.
Pets|oIixUDub1CM|TEDxParis 2010 - Joël de Rosnay - Voyage vers le futur du web et la singularité|240|Verified embeddable YouTube video for MINITUBE.
Pets|0vaDUOWqEAw|TEDxSRM - Rahul K Easwar - India is My Religion|240|Verified embeddable YouTube video for MINITUBE.
Pets|21rwo342nqY|Como se nos ocurren las ideas: Estanislao Bachrach at TEDxRosario|240|Verified embeddable YouTube video for MINITUBE.
Pets|lh4y_HiKqhM|TEDxSydney - Missy Higgins - Melbourne Singer Songwriter Charms with 3 Great Songs|240|Verified embeddable YouTube video for MINITUBE.
Pets|dcDCXzX_HQA|TEDxGrassValley - Chameli Ardagh - The Fierce face of the Feminine|240|Verified embeddable YouTube video for MINITUBE.
